,site,old,new,intersection
0,267,0,2487,0
1,269,66,2547,66
2,270,53,2532,52
3,271,54,2531,54
4,272,72,2546,72
5,273,25,2498,25
6,274,400,2870,399
7,275,105,2562,105
8,276,19,2470,19
9,277,92,2529,92
10,278,113,2544,113
11,279,48,2459,48
12,280,208,2597,208
13,281,68,2401,67
14,282,59,2382,59
15,283,29,2352,29
16,284,99,2421,98
17,285,100,2415,100
18,286,36,2350,36
19,287,46,2359,46
20,288,49,2325,49
21,289,141,2415,141
22,290,13,2280,13
23,291,51,2306,51
24,292,313,2561,313
25,293,44,2292,44
26,294,37,2285,37
27,295,73,2320,73
28,296,15,2262,14
29,297,9,2254,8
30,298,14,2256,14
31,299,32,2273,32
32,300,276,2495,276
33,301,38,2252,38
34,302,111,2328,111
35,303,28,2242,28
36,304,147,2357,147
37,305,61,2239,61
38,306,29,2192,29
39,307,147,2315,147
40,308,11,2169,11
41,309,50,2198,50
42,310,31,2148,31
43,311,263,2376,263
44,312,53,2165,53
45,313,687,2794,685
46,314,44,2148,44
47,315,71,2412,70
48,316,14,2366,14
49,317,12,2363,12
50,318,8,2119,8
51,319,67,2173,67
52,320,40,2141,40
53,321,37,1175,37
54,322,29,1159,29
55,323,46,1158,46
56,324,56,1159,56
57,325,76,825,75
58,326,17,759,17
59,327,13,736,13
60,328,15,724,15
61,329,12,702,12
62,330,27,712,27
63,331,79,489,79
64,332,109,492,109
65,333,15,350,15
66,334,44,376,44
67,336,80,397,78
68,338,32,328,32
69,339,18,301,18
70,340,152,435,152
71,341,73,335,73
72,342,17,276,17
73,343,231,481,231
74,344,391,635,391
75,345,44,142,44
76,346,715,792,713
77,347,328,400,328
78,348,47,122,47
79,349,28,99,28
80,350,183,247,183
81,351,95,159,95
82,352,71,133,71
83,353,102,164,102
84,354,174,234,174
85,355,224,284,222
86,356,48,108,48
87,357,28,87,28
88,358,81,140,81
89,359,56,118,56
90,360,58,120,58
91,361,100,163,100
92,362,166,229,164
93,363,37,100,36
94,364,189,252,189
95,365,55,119,55
96,366,81,144,81
97,367,221,284,221
98,368,213,277,212
99,369,41,103,41
100,370,369,434,369
101,371,63,127,63
102,372,39,103,39
103,373,259,319,259
104,374,94,154,94
105,375,41,100,41
106,376,424,455,424
107,377,172,203,172
108,378,25,56,25
109,379,171,200,171
110,380,31,62,31
111,381,13,39,13
112,382,132,158,131
113,383,127,147,127
114,384,115,136,115
115,385,63,81,63
116,386,38,56,38
117,387,47,65,47
118,388,122,140,122
119,389,107,123,107
120,390,79,93,78
121,391,48,62,48
122,392,134,148,134
123,393,106,120,106
124,394,72,75,72
125,395,9,11,9
126,396,56,58,56
127,397,34,36,34
128,398,450,452,449
129,399,37,39,37
130,400,120,122,120
131,401,258,259,258
132,402,29,29,29
133,403,49,49,49
134,404,5,6,5
135,405,30,30,30
136,406,31,31,31
137,407,63,64,63
138,408,54,55,54
139,409,87,88,86
140,410,350,351,349
141,411,107,108,107
142,412,95,96,95
143,413,13,14,13
144,414,90,91,90
145,415,28,30,28
146,416,16,18,16
147,417,29,31,29
148,418,51,57,51
149,419,95,101,95
150,420,37,43,37
151,421,112,118,112
152,422,34,45,34
153,423,7,474,7
154,424,21,492,21
155,425,66,1060,66
156,426,9,564,9
157,427,55,610,55
158,428,56,670,56
159,429,48,662,48
160,430,36,649,36
161,431,77,697,77
162,432,7,634,7
163,433,50,677,50
164,434,41,646,40
165,435,51,677,51
166,436,19,643,19
167,437,17,644,17
168,438,34,706,34
169,439,41,716,41
170,440,144,825,144
171,441,39,720,39
172,442,147,830,146
173,443,268,947,266
174,444,60,846,60
175,445,98,777,98
176,446,45,701,45
177,447,30,612,30
178,448,198,776,198
179,449,161,739,161
180,450,137,714,137
181,451,71,648,71
182,452,10,586,10
183,453,69,645,68
184,454,32,607,32
185,455,52,627,52
186,456,16,586,16
187,457,26,595,26
188,458,35,65,35
189,459,18,44,18
190,460,25,51,25
191,461,9,35,9
192,462,31,58,31
193,463,136,163,136
194,464,60,87,60
195,465,87,114,87
196,466,182,209,182
197,467,16,43,16
198,468,24,50,24
199,469,34,57,34
200,470,23,46,23
201,471,14,37,14
202,472,83,106,83
203,473,39,62,39
204,474,65,89,65
205,475,140,164,140
206,476,76,100,76
207,477,68,91,68
208,478,232,255,232
209,479,25,49,25
210,480,27,51,27
211,481,51,76,51
212,482,148,173,148
213,483,117,141,117
214,484,50,74,50
215,485,71,95,71
216,486,289,313,288
217,487,311,334,311
218,488,138,162,138
219,489,105,132,105
220,490,94,123,94
221,491,56,85,56
222,492,118,149,118
223,493,99,130,99
224,494,20,51,20
225,495,81,112,81
226,496,35,66,35
227,497,21,52,21
228,498,99,131,99
229,499,44,75,44
230,500,49,106,49
231,501,71,129,71
232,502,14,77,14
233,503,131,200,131
234,504,120,191,120
235,505,70,647,70
236,506,397,990,397
237,507,205,965,205
238,508,260,10899,256
239,509,231,11265,227
240,510,131,17699,130
241,511,69,17578,69
242,512,250,17800,250
243,513,81,18187,81
244,514,50,19432,50
245,515,69,25872,69
246,516,19,27907,19
247,517,60,27410,60
248,518,65,31222,64
249,519,49,24154,49
250,520,225,24191,224
251,521,201,14157,200
252,522,18,13914,18
253,523,235,3162,234
254,524,47,1827,46
255,525,26,227,26
256,526,361,557,361
257,527,306,417,306
258,528,20,133,20
259,529,312,425,312
260,530,68,174,68
261,531,4,108,4
262,532,141,244,141
263,533,72,131,72
264,534,147,196,147
265,535,40,89,40
266,536,72,120,72
267,537,26,73,25
268,538,39,85,39
269,539,422,468,421
270,540,69,98,69
271,541,196,224,195
272,542,85,108,85
273,543,27,50,27
274,544,60,83,60
275,545,162,183,162
276,546,67,87,67
277,547,105,124,105
278,548,72,91,72
279,549,62,81,62
280,550,62,81,62
281,551,1,20,1
282,552,39,58,39
283,553,112,131,112
284,554,22,42,22
285,555,11,26,11
286,556,394,409,394
287,557,213,228,213
288,558,112,127,112
289,559,47,62,47
290,560,551,566,551
291,561,214,229,213
292,562,21,36,21
293,563,98,113,98
294,564,90,105,90
295,565,55,70,55
296,566,63,78,63
297,567,112,127,112
298,568,36,51,36
299,569,31,46,31
300,570,47,62,47
301,571,88,103,86
302,572,20,35,20
303,573,70,85,70
304,574,21,36,21
305,575,76,91,76
306,576,32,48,32
307,577,56,72,56
308,578,70,86,70
309,579,87,103,87
310,580,54,70,54
311,581,110,126,110
312,582,42,60,42
313,583,683,701,683
314,584,391,409,391
315,585,34,51,34
316,586,95,117,95
317,587,100,124,100
318,588,34,59,34
319,589,152,177,152
320,590,94,112,94
321,591,56,74,56
322,592,121,137,121
323,593,865,881,865
324,594,59,76,59
325,595,51,62,51
326,596,111,122,111
327,597,54,62,54
328,598,179,187,179
329,599,231,237,231
330,600,100,106,100
331,601,295,301,295
332,602,53,59,53
333,603,33,39,33
334,604,42,48,42
335,605,95,101,95
336,606,249,253,248
337,607,25,29,25
338,608,74,78,74
339,609,37,41,37
340,610,43,47,43
341,611,116,120,116
342,612,34,38,34
343,613,89,93,89
344,614,146,150,146
345,615,98,102,98
346,616,43,47,43
347,617,75,78,75
348,618,8,11,8
349,619,92,95,92
350,620,152,155,152
351,621,130,133,130
352,622,114,117,113
353,623,22,25,22
354,624,31,34,31
355,625,428,431,428
356,626,178,178,178
357,627,4,4,4
358,628,35,35,35
359,629,94,94,94
360,630,9,9,9
361,631,29,29,29
362,632,100,100,100
363,633,29,29,29
364,634,24,24,24
365,636,120,120,120
366,637,20,21,20
367,638,12,13,12
368,639,33,34,33
369,640,50,51,50
370,641,25,26,25
371,642,42,43,42
372,643,399,400,399
373,644,81,82,81
374,645,52,53,52
375,646,19,26,19
376,647,30,37,30
377,648,28,35,28
378,649,57,57,57
379,650,9,9,9
380,651,28,28,28
381,652,90,90,90
382,653,120,121,120
383,654,92,93,92
384,655,80,81,78
385,656,117,118,117
386,657,677,678,676
387,658,93,94,92
388,659,77,78,77
389,660,68,69,68
390,661,39,40,39
391,662,131,131,131
392,663,79,79,79
393,664,337,337,337
394,665,78,78,78
395,666,43,43,43
396,667,53,56,53
397,668,33,37,33
398,669,97,201,97
399,670,123,228,123
400,671,33,137,33
401,672,26,40,26
402,673,412,424,411
403,674,120,132,120
404,675,184,195,184
405,676,259,270,259
406,677,220,232,220
407,678,151,163,150
408,679,257,269,257
409,680,189,201,189
410,681,75,88,75
411,682,115,134,115
412,684,17,92,17
413,685,18,102,18
414,686,29,6948,29
415,687,43,6962,43
416,688,113,7028,113
417,689,51,6974,51
418,690,90,7014,90
419,691,85,7001,85
420,692,64,6986,63
421,693,31,6968,30
422,694,124,7029,114
423,695,92,148,92
424,696,27,64,27
425,697,100,136,100
426,698,22,50,22
427,699,9,14,9
428,700,34,38,34
429,701,177,182,177
430,702,53,58,53
431,703,251,256,251
432,704,124,129,124
433,705,48,53,48
434,706,257,262,257
435,707,57,62,57
436,708,38,43,38
437,709,108,113,107
438,710,105,110,105
439,711,31,36,31
440,712,56,61,55
441,713,164,168,164
442,714,112,116,111
443,715,87,91,87
444,716,18,22,18
445,717,58,62,58
446,718,50,54,50
447,719,22,27,22
448,720,60,65,60
449,721,75,80,75
450,722,104,110,104
451,723,84,90,84
452,724,27,34,27
453,725,9,16,9
454,726,25,32,25
455,727,39,43,39
456,728,8,14,8
457,729,21,36,21
458,730,45,60,45
459,731,53,68,53
460,732,45,61,45
461,733,68,84,68
462,734,7,23,7
463,735,16,31,16
464,736,25,41,25
465,737,0,57,0
466,738,21,71,21
467,739,42,92,42
468,740,26,73,26
469,741,15,61,15
470,742,16,62,16
471,743,10,56,10
472,744,22,68,22
473,745,732,778,732
474,746,29,75,29
475,747,4,50,4
476,748,11,57,11
477,749,25,29,25
